,{},{0},{1},{2},{3},{4},{5},"{0,1}","{1,2}","{2,3}","{3,4}","{4,5}","{0,1,2}","{1,2,3}","{2,3,4}","{3,4,5}"
Original (min),32.89,95.53,91.42,95.96,99.16,99.4,98.14,96.3,92.87,99.18,94.3,99.39,90.2,33.6,96.49,95.09
Original (max),100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.6,100.0,100.0
Original (avg.),82.435,98.75,96.83500000000001,98.59,99.74000000000001,99.8475,99.37,98.27000000000001,97.4375,99.7475,98.26,99.8475,97.2575,77.4325,98.8725,98.595
NoPE (min),92.9,99.49,99.07,99.28,98.59,99.12,97.34,99.75,94.88,100.0,99.5,99.8,99.45,86.6,96.64,94.16
NoPE (max),100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
NoPE (avg.),97.43333333333334,99.83,99.69,99.75999999999999,99.53000000000002,99.70666666666666,99.04666666666667,99.91666666666667,98.02666666666666,100.0,99.76666666666667,99.91666666666667,99.81666666666666,94.01333333333332,98.88,98.05333333333333
