,{},{0},{1},{2},{3},{4},{5},"{0,1}","{1,2}","{2,3}","{3,4}","{4,5}","{0,1,2}","{1,2,3}","{2,3,4}","{3,4,5}","{0,1,2,3}","{1,2,3,4}","{2,3,4,5}","{0,1,2,3,4}","{1,2,3,4,5}"
NoPE (min),99.77,99.99,100.0,99.33,100.0,100.0,100.0,99.17,99.96,99.63,100.0,99.35,99.17,99.13,99.33,100.0,99.16,54.49,84.87,54.400000000000006,36.41
NoPE (max),100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.89,89.62
NoPE (avg.),99.95,99.99833333333333,100.0,99.88833333333332,100.0,100.0,100.0,99.73,99.99000000000001,99.93333333333334,100.0,99.87833333333333,99.735,99.855,99.88499999999999,100.0,99.75166666666667,91.96166666666666,95.05333333333333,80.64666666666666,61.885
Original (min),100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.96,99.91,100.0,99.96,100.0,99.84,99.63,93.5,80.80000000000001,91.69,33.67,33.489999999999995
Original (max),100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.63,97.39
Original (avg.),100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.99166666666667,99.985,100.0,99.99333333333334,100.0,99.97166666666668,99.93833333333333,98.77333333333333,96.51333333333334,98.47499999999998,67.05000000000001,57.26833333333334
