,{},{0},{1},{2},{3},{4},{5},"{0,1}","{1,2}","{2,3}","{3,4}","{4,5}","{0,1,2}","{1,2,3}","{2,3,4}","{3,4,5}","{0,1,2,3}","{1,2,3,4}","{2,3,4,5}","{0,1,2,3,4}","{1,2,3,4,5}"
Original (min),93.75,87.3,96.2,94.15,97.4,98.2,96.3,95.65,97.6,96.75,97.0,93.8,96.85,98.2,96.7,93.25,97.05,95.05,82.25,96.7,83.5
Original (max),95.45,94.6,96.5,99.0,98.45,99.1,99.2,98.05,98.8,98.8,99.3,94.9,98.8,99.4,99.05,99.25,98.45,99.2,97.05,98.3,95.65
Original (avg.),94.6,90.94999999999999,96.35,96.575,97.92500000000001,98.65,97.75,97.13333333333333,98.19999999999999,97.775,98.15,94.35,97.94,98.8,98.11666666666667,95.53333333333335,97.66666666666667,97.46666666666665,87.66666666666667,97.5,89.46666666666665
NoPE (min),52.05,52.65,52.05,54.1,50.95,50.2,54.1,54.1,52.05,51.3,50.3,50.14999999999999,54.65,50.85,50.2,49.9,54.35,50.45,50.45,51.4,51.35
NoPE (max),52.85,53.3,52.5,55.1,56.15,54.1,54.15,56.85,52.3,52.15,51.45,50.95,56.3,51.95,51.65,51.45,56.05,51.45,51.65,51.45,52.05
NoPE (avg.),52.45,52.974999999999994,52.275,54.6,53.55,52.150000000000006,54.125,55.475,52.175,51.724999999999994,50.875,50.55,55.870000000000005,51.400000000000006,50.925,50.675,55.2,50.95,51.05,51.425,51.7
