,{},{0},{1},{2},{3},{4},{5},"{0,1}","{1,2}","{2,3}","{3,4}","{4,5}","{0,1,2}","{1,2,3}","{2,3,4}","{3,4,5}","{0,1,2,3}","{1,2,3,4}","{2,3,4,5}","{0,1,2,3,4}","{1,2,3,4,5}"
NoPE (min),89.94,93.46,89.68,95.59,91.61,96.55,90.52,90.92,92.18,97.4,93.68,91.31,93.13,83.3,99.49,95.48,82.55,86.16,94.3,82.58,36.01
NoPE (max),96.87,98.77,100.0,100.0,100.0,100.0,99.19,97.82,99.96,100.0,100.0,99.9,99.5,95.69,100.0,100.0,87.2,92.63,99.0,90.8,90.72
NoPE (avg.),93.83599999999998,94.942,95.73800000000001,98.816,98.224,98.896,95.038,95.01599999999999,96.80199999999999,99.048,98.1,97.27799999999999,96.22999999999999,88.342,99.898,99.096,84.896,89.006,97.192,87.4,75.87
Original (min),98.18,88.77000000000001,87.21,99.26,99.97,99.93,81.49,93.93,89.67,98.61,98.78,96.08,93.51,83.46000000000001,96.98,100.0,83.39999999999999,82.86,33.81,85.71,80.84
Original (max),100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.37,100.0,100.0,100.0,99.5,96.25,90.99,100.0,100.0,88.92999999999999,90.44,97.48,94.61,89.05999999999999
Original (avg.),99.326,95.138,94.48599999999999,99.77799999999999,99.994,99.986,95.52,96.89000000000001,93.078,99.72200000000001,99.756,98.214,95.28999999999999,87.64,99.396,100.0,86.642,86.686,83.986,90.006,84.248
