,{},{0},{1},{2},{3},{4},{5},"{0,1}","{1,2}","{2,3}","{3,4}","{4,5}","{0,1,2}","{1,2,3}","{2,3,4}","{3,4,5}","{0,1,2,3}","{1,2,3,4}","{2,3,4,5}","{0,1,2,3,4}","{1,2,3,4,5}"
NoPE (min),46.71,46.7,47.09,47.47,47.21,46.97,46.64,46.88,47.64,47.02,47.39,47.7,47.15,47.45,47.68,47.66,46.72,47.47,47.65,47.260000000000005,47.39
NoPE (max),47.74,47.56,48.18,48.17,48.29,47.95,48.0,48.02,48.19,48.26,47.93,48.17,48.22,48.31,48.06,48.26,48.05,48.010000000000005,48.35,48.29,48.120000000000005
NoPE (avg.),47.18833333333333,47.125,47.86333333333334,47.905,47.796666666666674,47.44333333333333,47.291666666666664,47.35833333333333,47.94333333333333,47.785,47.715,47.89666666666667,47.685,47.89666666666667,47.803333333333335,47.961666666666666,47.45666666666667,47.76333333333333,47.923333333333325,47.81833333333333,47.86833333333334
Original (min),99.44,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.47,100.0,100.0,100.0,100.0,100.0,99.97,100.0,100.0,100.0,99.26,99.73,100.0
Original (max),100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Original (avg.),99.87666666666667,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.91166666666668,100.0,100.0,100.0,100.0,100.0,99.995,100.0,100.0,100.0,99.81333333333333,99.96142857142857,100.0
