,{},{0},{1},{2},{3},{4},{5},"{0,1}","{1,2}","{2,3}","{3,4}","{4,5}","{0,1,2}","{1,2,3}","{2,3,4}","{3,4,5}","{0,1,2,3}","{1,2,3,4}","{2,3,4,5}","{0,1,2,3,4}","{1,2,3,4,5}"
NoPE (min),89.94,93.46,89.68,95.59,91.61,92.23,90.52,90.92,89.03,92.59,92.96,91.31,93.13,83.3,97.81,90.9,82.55,83.48,94.3,82.58,36.01
NoPE (max),96.87,98.77,100.0,100.0,100.0,100.0,99.24,98.36,99.96,100.0,100.0,99.9,99.5,95.69,100.0,100.0,87.2,92.63,99.0,90.8,90.72
NoPE (avg.),94.03499999999998,95.11166666666666,96.44666666666667,98.94666666666667,98.52,97.78500000000001,95.73833333333333,95.57333333333332,95.50666666666666,97.97166666666668,97.24333333333334,96.78666666666668,96.77499999999999,87.68333333333334,99.55,97.73,84.59333333333333,88.085,97.11833333333334,87.67333333333333,78.19666666666667
Original (min),97.09,88.77000000000001,87.21,99.26,94.82,98.95,81.49,93.93,0.0,98.61,98.78,96.08,93.51,82.47,96.98,99.83,83.39999999999999,33.37,33.81,85.71,80.84
Original (max),100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.37,100.0,100.0,100.0,99.5,99.22,90.99,100.0,100.0,88.92999999999999,90.44,97.65,94.61,89.05999999999999
Original (avg.),98.95333333333333,94.41666666666667,95.315,99.815,99.13166666666666,99.81333333333333,96.16666666666667,97.07285714285716,80.2957142857143,99.76333333333334,99.78666666666668,97.86500000000001,95.75428571428571,87.01428571428572,99.54285714285713,99.97571428571429,86.67142857142856,75.78571428571429,87.74857142857142,89.18142857142857,85.47142857142858
