,{},{0},{1},{2},{3},{4},{5},"{0,1}","{1,2}","{2,3}","{3,4}","{4,5}","{0,1,2}","{1,2,3}","{2,3,4}","{3,4,5}"
Original (min),95.45,87.3,96.5,99.0,97.4,99.1,96.3,98.05,97.6,98.8,99.3,94.9,96.85,98.8,99.05,93.25
Original (max),95.45,87.3,96.5,99.0,97.4,99.1,96.3,98.05,97.6,98.8,99.3,94.9,98.8,98.8,99.05,93.25
Original (avg.),95.45,87.3,96.5,99.0,97.4,99.1,96.3,98.05,97.6,98.8,99.3,94.9,97.94,98.8,99.05,93.25
NoPE (min),52.05,53.3,52.5,54.1,56.15,50.2,54.1,56.85,52.05,51.3,51.45,50.14999999999999,54.65,51.95,50.2,51.45
NoPE (max),52.05,53.3,52.5,54.1,56.15,50.2,54.1,56.85,52.05,51.3,51.45,50.14999999999999,56.3,51.95,50.2,51.45
NoPE (avg.),52.05,53.3,52.5,54.1,56.15,50.2,54.1,56.85,52.05,51.3,51.45,50.14999999999999,55.870000000000005,51.95,50.2,51.45
