,{},{0},{1},{2},{3},{4},{5},"{0,1}","{1,2}","{2,3}","{3,4}","{4,5}","{0,1,2}","{1,2,3}","{2,3,4}","{3,4,5}","{0,1,2,3}","{1,2,3,4}","{2,3,4,5}","{0,1,2,3,4}","{1,2,3,4,5}"
Original (min),99.3,99.65,99.95,99.5,99.05,99.95,99.5,99.05,99.95,99.95,99.2,99.95,99.55,99.65,99.95,99.45,99.95,99.95,99.95,99.95,99.8
Original (max),99.3,99.65,99.95,99.5,99.05,99.95,99.5,99.05,99.95,99.95,99.2,99.95,99.55,99.65,99.95,99.45,99.95,99.95,99.95,99.95,99.8
Original (avg.),99.3,99.65,99.95,99.5,99.05,99.95,99.5,99.05,99.95,99.95,99.2,99.95,99.55,99.65,99.95,99.45,99.95,99.95,99.95,99.95,99.8
NoPE (min),99.65,99.65,99.95,99.95,98.1,99.95,99.95,99.95,99.65,99.95,99.95,99.95,99.95,99.95,99.95,99.55,94.1,97.75,99.95,99.95,99.95
NoPE (max),99.65,99.65,99.95,99.95,98.1,99.95,99.95,99.95,99.65,99.95,99.95,99.95,99.95,99.95,99.95,99.55,94.1,97.75,99.95,99.95,99.95
NoPE (avg.),99.65,99.65,99.95,99.95,98.1,99.95,99.95,99.95,99.65,99.95,99.95,99.95,99.95,99.95,99.95,99.55,94.1,97.75,99.95,99.95,99.95
