,{},{0},{1},{2},{3},{4},{5},"{0,1}","{1,2}","{2,3}","{3,4}","{4,5}","{0,1,2}","{1,2,3}","{2,3,4}","{3,4,5}","{0,1,2,3}","{1,2,3,4}","{2,3,4,5}","{0,1,2,3,4}","{1,2,3,4,5}"
Original (min),97.4,95.7,93.35,98.4,99.15,99.05,99.15,78.4,98.6,95.4,99.45,99.3,95.05,98.55,99.25,99.1,98.65,67.10000000000001,51.35,51.0,51.35
Original (max),98.7,98.4,98.75,98.9,99.4,99.4,99.2,99.1,99.15,99.1,99.5,99.75,99.15,99.5,99.4,99.6,99.2,98.7,81.45,86.15,52.3
Original (avg.),98.26666666666667,97.05000000000001,96.05,98.65,99.275,99.225,99.17500000000001,91.3,98.91666666666667,97.84999999999998,99.475,99.525,98.3,99.03333333333335,99.3,99.31666666666666,98.96666666666668,88.11666666666667,61.70000000000001,73.35,51.666666666666664
NoPE (min),87.85,90.95,75.55,73.85000000000001,99.15,99.0,94.65,67.85,72.6,75.0,98.6,97.75,51.95,98.75,91.4,84.65,54.75,75.85,51.35,51.8,50.1
NoPE (max),96.25,98.8,86.2,82.55,99.2,99.15,99.3,77.5,91.05,88.64999999999999,99.35,99.1,94.1,99.25,99.35,92.05,85.8,98.9,52.85,56.39999999999999,52.3
NoPE (avg.),92.58333333333333,94.875,80.875,78.2,99.17500000000001,99.075,96.975,72.675,81.82499999999999,81.82499999999999,98.975,98.425,80.91,99.0,95.375,88.35,70.275,87.375,52.1,54.099999999999994,51.2
