,{},{0},{1},{2},{3},{4},{5},"{0,1}","{1,2}","{2,3}","{3,4}","{4,5}","{0,1,2}","{1,2,3}","{2,3,4}","{3,4,5}"
Original (min),100.0,99.91919191919192,99.70707070707071,99.34343434343434,99.03030303030305,99.57575757575758,99.85858585858584,98.52525252525253,0.0101010101010101,0.0101010101010101,0.0101010101010101,0.0101010101010101,0.0101010101010101,0.0101010101010101,0.0101010101010101,0.0101010101010101
Original (max),100.0,100.0,99.94949494949496,99.66666666666669,99.989898989899,99.989898989899,99.94949494949496,99.73737373737372,90.74747474747474,2.515151515151515,99.97979797979798,99.61616161616162,0.8181818181818182,0.0202020202020202,0.0303030303030303,0.0202020202020202
Original (avg.),100.0,99.97306397306397,99.83670033670035,99.50841750841751,99.75420875420876,99.85690235690235,99.89730639730641,99.1948051948052,15.414141414141413,0.3924963924963925,28.5988455988456,29.148629148629148,0.4015151515151515,0.013888888888888888,0.016414141414141412,0.016414141414141412
NoPE (min),99.29292929292929,96.53535353535354,91.27272727272728,83.3030303030303,50.46464646464647,89.85858585858585,98.8181818181818,10.363636363636363,0.0101010101010101,0.0101010101010101,0.0101010101010101,0.0101010101010101,0.0202020202020202,0.0101010101010101,0.0101010101010101,0.0101010101010101
NoPE (max),99.75757575757576,97.63636363636364,98.48484848484848,96.86868686868686,87.87878787878788,98.97979797979798,99.72727272727272,80.12121212121212,0.1515151515151515,0.0707070707070707,0.0707070707070707,0.6868686868686869,0.1313131313131313,0.0909090909090909,0.0303030303030303,0.0404040404040404
NoPE (avg.),99.58754208754209,96.96464646464646,95.45622895622897,89.82659932659932,69.13299663299664,95.99326599326601,99.47643097643099,53.52236652236653,0.06926406926406926,0.04617604617604617,0.03318903318903319,0.16017316017316016,0.08207070707070707,0.025252525252525252,0.016414141414141412,0.0202020202020202
