,{},{0},{1},{2},{3},{4},{5},"{0,1}","{1,2}","{2,3}","{3,4}","{4,5}","{0,1,2}","{1,2,3}","{2,3,4}","{3,4,5}","{0,1,2,3}","{1,2,3,4}","{2,3,4,5}","{0,1,2,3,4}","{1,2,3,4,5}"
Original (min),99.55,99.45,99.6,99.2,99.55,99.45,99.65,99.55,99.6,99.3,99.55,99.6,99.3,99.6,99.2,93.05,99.7,51.4,51.05,50.95,51.4
Original (max),99.95,99.55,99.65,99.65,99.8,99.65,99.65,99.6,99.65,99.65,99.65,99.65,99.55,99.65,99.95,99.9,99.9,99.7,51.2,51.5,51.65
Original (avg.),99.75,99.5,99.625,99.42500000000001,99.675,99.55000000000001,99.65,99.57499999999999,99.625,99.475,99.6,99.625,99.425,99.625,99.575,96.475,99.80000000000001,75.55,51.125,51.225,51.525
NoPE (min),99.65,99.65,99.45,99.65,99.55,99.2,0.0,99.6,99.2,99.05,99.35,99.85,99.6,99.6,99.1,65.4,99.4,51.2,51.2,51.4,51.2
NoPE (max),99.65,99.65,99.65,99.65,99.6,99.95,99.9,99.6,99.55,99.65,99.65,99.95,99.65,99.65,99.45,95.9,99.6,52.0,51.5,52.0,51.5
NoPE (avg.),99.65,99.65,99.55000000000001,99.65,99.57499999999999,99.575,49.95,99.6,99.375,99.35,99.5,99.9,99.625,99.625,99.275,80.65,99.5,51.6,51.35,51.7,51.35
