,{},{0},{1},{2},{3},{4},{5},"{0,1}","{1,2}","{2,3}","{3,4}","{4,5}","{0,1,2}","{1,2,3}","{2,3,4}","{3,4,5}","{0,1,2,3}","{1,2,3,4}","{2,3,4,5}","{0,1,2,3,4}","{1,2,3,4,5}"
NoPE (min),46.71,46.7,47.09,47.47,47.21,46.97,46.64,46.88,47.64,47.02,47.39,47.7,47.15,47.25,47.42,47.66,46.72,47.47,47.6,47.260000000000005,47.39
NoPE (max),47.74,47.56,48.18,48.17,48.29,47.95,48.0,48.02,48.19,48.26,47.95,48.28,48.22,48.31,48.06,48.36,48.05,48.010000000000005,48.35,48.29,48.120000000000005
NoPE (avg.),47.24714285714286,47.18285714285714,47.794285714285714,47.925714285714285,47.85000000000001,47.444285714285705,47.324285714285715,47.34285714285714,47.942857142857136,47.82142857142857,47.74857142857143,47.951428571428565,47.69714285714286,47.80428571428571,47.74857142857143,48.01857142857143,47.462857142857146,47.777142857142856,47.87714285714286,47.76142857142857,47.87428571428571
Original (min),99.44,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.47,100.0,99.81,100.0,100.0,100.0,99.97,100.0,100.0,100.0,99.26,99.73,100.0
Original (max),100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Original (avg.),99.89428571428572,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.92428571428572,100.0,99.97285714285714,100.0,100.0,100.0,99.99571428571429,100.0,100.0,100.0,99.84,99.96625,100.0
