,{},{0},{1},{2},{3},{4},{5},"{0,1}","{1,2}","{2,3}","{3,4}","{4,5}","{0,1,2}","{1,2,3}","{2,3,4}","{3,4,5}","{0,1,2,3}","{1,2,3,4}","{2,3,4,5}","{0,1,2,3,4}","{1,2,3,4,5}"
Original (min),97.4,95.7,93.35,98.4,99.15,99.05,97.95,78.4,98.6,99.05,99.1,99.3,95.05,98.55,99.25,99.1,98.65,67.10000000000001,51.35,51.0,51.35
Original (max),98.7,98.4,98.95,99.05,99.5,99.4,99.2,99.1,99.15,99.35,99.5,99.75,99.15,99.5,99.4,99.6,99.2,98.7,81.45,86.15,52.3
Original (avg.),98.15,96.73333333333335,97.01666666666667,98.78333333333335,99.35000000000001,99.23333333333333,98.76666666666667,91.3,98.91666666666667,99.16666666666667,99.34999999999998,99.5,98.3,99.03333333333335,99.3,99.31666666666666,98.96666666666668,88.11666666666667,61.70000000000001,73.35,51.666666666666664
NoPE (min),49.0,90.95,75.55,73.85000000000001,97.85,99.0,94.65,67.85,72.6,75.0,97.1,97.75,51.95,98.75,87.8,84.65,54.75,75.85,51.35,51.8,50.1
NoPE (max),96.25,98.8,91.45,93.45,99.2,99.15,99.3,77.5,99.1,88.64999999999999,99.35,99.2,94.1,99.25,99.35,95.05,85.8,98.9,52.85,59.35,52.3
NoPE (avg.),81.6875,94.48333333333333,84.39999999999999,83.28333333333335,98.73333333333335,99.10000000000001,96.86666666666667,72.45,87.58333333333333,80.39999999999999,98.34999999999998,98.68333333333334,80.91,98.98333333333333,92.85000000000001,90.58333333333333,70.93333333333334,87.01666666666667,51.85,55.849999999999994,51.25
