,{},{0},{1},{2},{3},{4},{5},"{0,1}","{1,2}","{2,3}","{3,4}","{4,5}","{0,1,2}","{1,2,3}","{2,3,4}","{3,4,5}","{0,1,2,3}","{1,2,3,4}","{2,3,4,5}","{0,1,2,3,4}","{1,2,3,4,5}"
NoPE (min),99.77,99.99,100.0,99.33,100.0,100.0,100.0,99.17,99.96,99.63,100.0,99.35,99.17,99.13,99.33,100.0,99.16,54.49,84.87,54.400000000000006,36.41
NoPE (max),100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.89,89.62
NoPE (avg.),99.95714285714287,99.99857142857142,100.0,99.9042857142857,100.0,100.0,100.0,99.76857142857143,99.99142857142859,99.94285714285715,100.0,99.89571428571428,99.77285714285713,99.87571428571428,99.90142857142857,100.0,99.78714285714285,93.11,95.74142857142856,83.34857142857143,59.47571428571428
Original (min),100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.96,99.91,100.0,99.96,100.0,99.68,99.63,93.5,67.69,91.69,33.67,33.489999999999995
Original (max),100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.63,97.39
Original (avg.),100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.99285714285715,99.98714285714286,100.0,99.99428571428572,100.0,99.92999999999999,99.94714285714285,98.93714285714285,92.39571428571428,98.53142857142856,66.75857142857144,53.88857142857143
