,{},{0},{1},{2},{3},{4},{5},"{0,1}","{1,2}","{2,3}","{3,4}","{4,5}","{0,1,2}","{1,2,3}","{2,3,4}","{3,4,5}","{0,1,2,3}","{1,2,3,4}","{2,3,4,5}","{0,1,2,3,4}","{1,2,3,4,5}","{0,1,2,3,4,5}",{},{0},{1},{2},{3},{4},{5},"{0,1}","{1,2}","{2,3}","{3,4}","{4,5}","{0,1,2}","{1,2,3}","{2,3,4}","{3,4,5}","{0,1,2,3}","{1,2,3,4}","{2,3,4,5}","{0,1,2,3,4}","{1,2,3,4,5}","{0,1,2,3,4,5}",{},{0},{1},{2},{3},{4},{5},"{0,1}","{1,2}","{2,3}","{3,4}","{4,5}","{0,1,2}","{1,2,3}","{2,3,4}","{3,4,5}","{0,1,2,3}","{1,2,3,4}","{2,3,4,5}","{0,1,2,3,4}","{1,2,3,4,5}","{0,1,2,3,4,5}",{},{0},{1},{2},{3},{4},{5},"{0,1}","{1,2}","{2,3}","{3,4}","{4,5}","{0,1,2}","{1,2,3}","{2,3,4}","{3,4,5}","{0,1,2,3}","{1,2,3,4}","{2,3,4,5}","{0,1,2,3,4}","{1,2,3,4,5}","{0,1,2,3,4,5}",{},{0},{1},{2},{3},{4},{5},"{0,1}","{1,2}","{2,3}","{3,4}","{4,5}","{0,1,2}","{1,2,3}","{2,3,4}","{3,4,5}","{0,1,2,3}","{1,2,3,4}","{2,3,4,5}","{0,1,2,3,4}","{1,2,3,4,5}","{0,1,2,3,4,5}",{},{0},{1},{2},{3},{4},{5},"{0,1}","{1,2}","{2,3}","{3,4}","{4,5}","{0,1,2}","{1,2,3}","{2,3,4}","{3,4,5}","{0,1,2,3}","{1,2,3,4}","{2,3,4,5}","{0,1,2,3,4}","{1,2,3,4,5}","{0,1,2,3,4,5}"
NoPE (max),96.87,98.77,100.0,100.0,100.0,100.0,99.24,98.36,99.96,100.0,100.0,100.0,99.5,97.72,100.0,100.0,93.95,96.61,99.32,92.38,99.36,91.89,100.0,99.99,99.5,100.0,100.0,100.0,100.0,100.0,99.93,100.0,100.0,100.0,100.0,97.91,99.15,33.989999999999995,94.92,34.599999999999994,33.989999999999995,34.599999999999994,34.22,34.300000000000004,47.74,47.57,48.18,48.2,48.29,47.95,48.0,48.02,48.2,48.26,47.95,48.34,48.22,48.31,48.14,48.36,48.05,48.010000000000005,48.35,48.29,48.120000000000005,48.28,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.89,89.62,90.1,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,36.6,36.2,36.0,36.2,36.2
NoPE (avg.),93.85374999999999,94.22125,97.30250000000001,98.5425,98.89,98.18625,95.36,96.08375000000001,94.84625,98.35875000000001,97.88875,97.38,95.6625,89.65375,99.63374999999999,97.955,86.5975,89.37125,97.6325,81.43666666666667,82.0475,83.1711111111111,99.81777777777778,99.55222222222223,87.89111111111112,99.63333333333334,99.84444444444445,99.7388888888889,99.91555555555556,99.09777777777778,97.80555555555556,99.4211111111111,99.89666666666666,99.88666666666667,99.77444444444444,90.87444444444445,92.43666666666667,33.696666666666665,86.38222222222221,33.84777777777778,33.69555555555556,33.82222222222222,33.74444444444445,33.82555555555556,47.215,47.23125,47.74875,47.96,47.87125,47.472500000000004,47.31375,47.3125,47.975,47.832499999999996,47.75625,48.0,47.63875,47.7975,47.7975,48.053749999999994,47.44125,47.80625,47.870000000000005,47.758750000000006,47.89375,47.89875000000001,99.9625,99.99875,100.0,99.91624999999999,100.0,100.0,100.0,99.75125,99.9925,99.95,99.99375,99.90875,99.80125,99.89125,99.91375,99.95875000000001,99.7625,93.96875,95.545,85.19875,61.34375,63.76375,99.96000000000001,99.97999999999999,100.0,99.91111111111111,100.0,99.88,99.9,100.0,100.0,99.9,99.94000000000001,100.0,100.0,99.92727272727271,99.72727272727273,99.91111111111111,99.95555555555556,99.46000000000001,99.97999999999999,99.6,99.93333333333334,99.9090909090909,99.86,99.92,100.0,100.0,99.96666666666665,100.0,100.0,99.91999999999999,99.55999999999999,99.08888888888889,99.22222222222223,99.44444444444444,99.84,94.98,95.46000000000001,76.20000000000002,83.61999999999999,35.099999999999994,34.06,34.44444444444444,34.28888888888889,34.25454545454546
Original (max),100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.87,100.0,100.0,100.0,100.0,99.22,90.99,100.0,100.0,88.92999999999999,90.44,97.65,94.61,89.05999999999999,90.93,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.76,100.0,100.0,100.0,100.0,99.36,98.74,34.22,96.24,34.38,34.239999999999995,33.95,34.239999999999995,34.239999999999995,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.63,97.39,34.39,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,97.0,99.8,36.6,36.6,39.6,36.6,36.6
Original (avg.),99.1688888888889,94.29111111111112,96.05888888888889,99.64333333333333,99.38333333333333,98.96555555555557,95.02222222222223,97.47444444444446,93.94111111111111,99.64666666666668,99.83444444444444,97.72999999999999,94.86444444444446,85.82222222222222,99.53999999999999,99.96111111111111,85.89555555555556,77.60888888888888,87.77777777777777,87.21111111111111,82.33,84.27666666666667,99.81222222222222,99.38444444444445,97.02222222222223,99.70666666666666,99.71444444444444,99.81888888888889,99.88222222222223,99.78,98.32222222222224,99.68666666666667,99.88222222222223,99.87666666666667,99.20333333333332,93.013,92.60555555555555,33.82777777777778,74.84777777777778,33.81333333333334,33.85555555555556,33.72777777777779,33.80777777777777,33.756249999999994,99.91777777777777,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.93375,100.0,99.97625,100.0,100.0,100.0,99.99625,100.0,100.0,100.0,99.86,99.97,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.99375,99.98875,100.0,99.995,100.0,99.93875,99.95375,98.66,93.34625,96.7725,62.64625,51.345000000000006,33.763749999999995,99.94000000000001,99.88000000000001,100.0,99.91111111111111,99.97999999999999,100.0,99.93333333333334,99.86,99.97777777777777,99.91111111111111,99.96000000000001,99.96000000000001,99.7818181818182,99.8,100.0,99.61818181818181,99.88,99.41999999999999,98.96000000000001,99.84,98.82,99.65454545454546,100.0,100.0,100.0,100.0,99.94545454545455,99.96666666666665,99.88333333333333,99.84444444444445,100.0,99.62222222222222,99.67999999999999,99.86666666666667,99.91999999999999,99.57777777777778,97.86666666666666,74.17777777777776,89.46666666666667,34.37777777777778,34.37777777777778,34.800000000000004,34.55555555555556,34.480000000000004
