,{},{0},{1},{2},{3},{4},{5},"{0,1}","{1,2}","{2,3}","{3,4}","{4,5}","{0,1,2}","{1,2,3}","{2,3,4}","{3,4,5}","{0,1,2,3}","{1,2,3,4}","{2,3,4,5}","{0,1,2,3,4}","{1,2,3,4,5}"
Original (min),100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.96,99.91,100.0,99.96,100.0,99.68,99.63,93.5,67.69,84.46000000000001,33.67,33.489999999999995
Original (max),100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.63,97.39
Original (avg.),100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.99375,99.98875,100.0,99.995,100.0,99.93875,99.95375,98.66,93.34625,96.7725,62.64625,51.345000000000006
NoPE (min),99.77,99.99,100.0,99.33,100.0,100.0,100.0,99.17,99.96,99.63,99.95,99.35,99.17,99.13,99.33,99.67,99.16,54.49,84.87,54.400000000000006,36.41
NoPE (max),100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.89,89.62
NoPE (avg.),99.9625,99.99875,100.0,99.91624999999999,100.0,100.0,100.0,99.75125,99.9925,99.95,99.99375,99.90875,99.80125,99.89125,99.91375,99.95875000000001,99.7625,93.96875,95.545,85.19875,61.34375
