,{},{0},{1},{2},{3},{4},{5},"{0,1}","{1,2}","{2,3}","{3,4}","{4,5}","{0,1,2}","{1,2,3}","{2,3,4}","{3,4,5}","{0,1,2,3}","{1,2,3,4}","{2,3,4,5}","{0,1,2,3,4}","{1,2,3,4,5}"
NoPE (min),99.38,98.93,79.78,98.44,99.34,98.62,99.49,94.92,95.81,98.56,99.41,99.67,99.5,79.72,77.96,33.35,0.0,33.42,33.35,33.58,33.35
NoPE (max),100.0,99.99,99.06,100.0,100.0,100.0,100.0,100.0,99.93,100.0,100.0,100.0,100.0,97.91,99.15,33.989999999999995,94.92,34.489999999999995,33.989999999999995,34.599999999999994,33.989999999999995
NoPE (avg.),99.91142857142857,99.53428571428572,86.95142857142856,99.66285714285716,99.86857142857143,99.76285714285714,99.89285714285714,98.95285714285716,97.68999999999998,99.3457142857143,99.87857142857142,99.95142857142856,99.84714285714287,90.02714285714286,93.32571428571428,33.66571428571428,78.71625,33.83428571428572,33.66428571428572,33.9025,33.685
Original (min),99.74,98.19,89.13,98.8,99.2,98.81,99.5,99.52,95.52,98.56,99.67,99.68,97.12,82.67,72.38,33.6,33.879999999999995,33.44,33.51,33.26,33.59
Original (max),100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.76,100.0,100.0,100.0,100.0,99.36,98.74,33.989999999999995,96.24,34.38,34.239999999999995,33.95,34.239999999999995
Original (avg.),99.81875,99.3375,96.95,99.6825,99.78875,99.79625,99.89750000000001,99.7825,98.6975,99.745,99.905,99.86125,99.20625,92.47555555555556,92.805,33.77875,73.99375,33.825,33.81,33.728750000000005,33.818749999999994
