,{},{0},{1},{2},{3},{4},{5},"{0,1}","{1,2}","{2,3}","{3,4}","{4,5}","{0,1,2}","{1,2,3}","{2,3,4}","{3,4,5}","{0,1,2,3}","{1,2,3,4}","{2,3,4,5}","{0,1,2,3,4}","{1,2,3,4,5}"
NoPE (min),99.38,98.93,79.78,98.44,99.34,98.62,99.49,94.92,95.81,98.56,99.41,99.67,99.5,79.72,77.96,33.35,82.37,33.42,33.35,33.58,33.35
NoPE (max),100.0,99.99,99.06,100.0,100.0,100.0,100.0,100.0,99.93,100.0,100.0,100.0,100.0,97.91,99.15,33.989999999999995,94.92,34.489999999999995,33.989999999999995,34.239999999999995,33.989999999999995
NoPE (avg.),99.91142857142857,99.53428571428572,86.95142857142856,99.66285714285716,99.86857142857143,99.76285714285714,99.89285714285714,98.95285714285716,97.68999999999998,99.3457142857143,99.87857142857142,99.95142857142856,99.84714285714287,90.02714285714286,93.32571428571428,33.66571428571428,89.96142857142857,33.83428571428572,33.66428571428572,33.80285714285714,33.65571428571429
Original (min),99.74,98.19,89.13,98.8,99.2,98.81,99.68,99.52,98.25,99.55,99.67,99.71,97.12,82.67,82.21000000000001,33.6,33.879999999999995,33.44,33.51,33.26,33.59
Original (max),100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.76,100.0,100.0,100.0,100.0,97.87,98.74,33.989999999999995,96.24,34.239999999999995,34.239999999999995,33.95,34.239999999999995
Original (avg.),99.82714285714285,99.28,96.65857142857143,99.67428571428572,99.79571428571428,99.76714285714286,99.95428571428572,99.80571428571429,99.15142857142858,99.91428571428571,99.90857142857143,99.88714285714285,99.19571428571429,91.61500000000001,95.72285714285715,33.76285714285714,71.37142857142857,33.74571428571429,33.79857142857142,33.705714285714286,33.808571428571426
