,{},{0},{1},{2},{3},{4},{5},"{0,1}","{1,2}","{2,3}","{3,4}","{4,5}","{0,1,2}","{1,2,3}","{2,3,4}","{3,4,5}","{0,1,2,3}","{1,2,3,4}","{2,3,4,5}","{0,1,2,3,4}","{1,2,3,4,5}"
Original (min),99.74,98.19,89.13,98.8,99.2,98.81,99.5,99.52,95.52,98.56,99.67,99.68,97.12,82.67,59.86,33.6,33.879999999999995,33.44,33.51,33.26,33.59
Original (max),100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.76,100.0,100.0,100.0,100.0,99.36,98.74,33.989999999999995,96.24,34.38,34.239999999999995,33.95,34.239999999999995
Original (avg.),99.81875,99.3375,96.95,99.6825,99.78875,99.79625,99.89750000000001,99.7825,98.6975,99.745,99.905,99.86125,99.20333333333332,93.013,89.14444444444445,33.772222222222226,74.84777777777778,33.81333333333334,33.85555555555556,33.72777777777779,33.80777777777777
NoPE (min),99.38,98.93,79.78,98.44,99.34,98.62,99.49,94.92,95.81,98.56,99.41,99.32,99.45,79.72,77.96,33.35,77.3,33.42,33.35,33.58,33.35
NoPE (max),100.0,99.99,99.06,100.0,100.0,100.0,100.0,100.0,99.93,100.0,100.0,100.0,100.0,97.91,99.15,33.989999999999995,94.92,34.599999999999994,33.989999999999995,34.599999999999994,33.989999999999995
NoPE (avg.),99.8575,99.52875,86.44,99.6175,99.855,99.775,99.905,99.0275,97.6525,99.37875,99.89375,99.8725,99.7975,90.9075,91.9875,33.693749999999994,88.37875,33.93,33.6925,33.9025,33.685
