,{},{0},{1},{2},{3},{4},{5},"{0,1}","{1,2}","{2,3}","{3,4}","{4,5}","{0,1,2}","{1,2,3}","{2,3,4}","{3,4,5}","{0,1,2,3}","{1,2,3,4}","{2,3,4,5}","{0,1,2,3,4}","{1,2,3,4,5}"
NoPE (min),89.94,92.15,89.68,95.59,91.61,92.23,90.52,90.92,89.03,92.59,92.96,91.31,90.52,83.3,97.81,90.9,82.55,83.48,94.3,82.03,36.01
NoPE (max),96.87,98.77,100.0,100.0,100.0,100.0,99.24,98.36,99.96,100.0,100.0,100.0,99.5,97.72,100.0,100.0,91.27,96.61,99.03,90.8,90.72
NoPE (avg.),93.88428571428571,94.68857142857142,96.95428571428572,99.09714285714287,98.73142857142857,97.96428571428571,95.36428571428571,95.89285714285714,95.96000000000001,98.12428571428572,97.63714285714286,97.24571428571429,95.88142857142857,89.11714285714287,99.61285714285714,97.67571428571429,85.54714285714286,89.30285714285715,97.39142857142858,86.86714285714285,79.57428571428571
Original (min),97.09,88.77000000000001,87.21,98.45,94.82,98.95,81.49,93.93,89.67,98.61,98.78,96.08,93.51,82.47,96.98,99.83,83.39999999999999,33.37,33.81,85.71,80.84
Original (max),100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.37,100.0,100.0,100.0,99.88,99.22,90.99,100.0,100.0,88.92999999999999,90.44,97.65,94.61,89.05999999999999
Original (avg.),99.04428571428572,95.17999999999999,95.55571428571429,99.62,99.24,99.84,96.48285714285714,97.14714285714287,94.37428571428572,99.79714285714286,99.81714285714285,98.15285714285714,95.75428571428571,87.01428571428572,99.54285714285713,99.97571428571429,86.67142857142856,75.78571428571429,87.74857142857142,89.18142857142857,85.47142857142858
