,{},{0},{1},{2},{3},{4},{5},"{0,1}","{1,2}","{2,3}","{3,4}","{4,5}","{0,1,2}","{1,2,3}","{2,3,4}","{3,4,5}","{0,1,2,3}","{1,2,3,4}","{2,3,4,5}","{0,1,2,3,4}","{1,2,3,4,5}"
Original (min),99.55,99.35,99.6,99.2,99.55,99.45,99.65,99.55,99.4,99.3,99.55,99.55,99.3,99.6,99.15,69.69999999999999,99.35,51.4,51.05,50.95,51.4
Original (max),99.95,99.55,99.65,99.65,99.95,99.65,99.85,99.6,99.65,99.65,99.65,99.65,99.6,99.65,99.95,99.9,99.9,99.7,51.7,51.5,51.7
Original (avg.),99.7,99.45,99.63333333333333,99.48333333333335,99.76666666666667,99.58333333333333,99.71666666666665,99.58333333333333,99.55,99.51666666666665,99.61666666666667,99.60000000000001,99.48333333333333,99.63333333333333,99.43333333333334,87.55,99.65000000000002,83.56666666666666,51.31666666666666,51.28333333333333,51.583333333333336
NoPE (min),99.15,99.65,99.45,99.65,99.55,99.2,99.9,99.6,99.2,99.05,99.35,99.85,99.6,99.6,99.1,65.4,99.4,51.2,51.2,51.4,51.0
NoPE (max),99.65,99.65,99.65,99.65,99.6,99.95,99.95,99.6,99.55,99.65,99.65,99.95,99.65,99.65,99.45,95.9,99.6,52.0,51.5,52.0,51.5
NoPE (avg.),99.4,99.65,99.55000000000001,99.65,99.57499999999999,99.575,99.92500000000001,99.6,99.375,99.35,99.5,99.9,99.625,99.625,99.275,80.65,99.5,51.6,51.35,51.6,51.23333333333333
