,{},{0},{1},{2},{3},{4},{5},"{0,1}","{1,2}","{2,3}","{3,4}","{4,5}","{0,1,2}","{1,2,3}","{2,3,4}","{3,4,5}","{0,1,2,3}","{1,2,3,4}","{2,3,4,5}","{0,1,2,3,4}","{1,2,3,4,5}"
NoPE (min),46.71,46.89,47.09,47.47,47.21,47.010000000000005,46.81,46.88,47.64,47.02,47.39,47.7,47.15,47.45,47.68,47.81,46.72,47.47,47.67,47.260000000000005,47.39
NoPE (max),47.44,47.56,48.18,48.17,48.29,47.95,48.0,48.02,48.19,48.26,47.93,48.17,48.22,48.31,48.06,48.26,48.05,48.010000000000005,48.35,48.29,48.120000000000005
NoPE (avg.),47.078,47.21,47.812,47.864,47.842,47.538,47.422000000000004,47.436,47.92999999999999,47.775999999999996,47.696000000000005,47.926,47.694,47.944,47.822,48.022,47.47,47.724,47.977999999999994,47.826,47.910000000000004
Original (min),99.44,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.47,100.0,100.0,100.0,100.0,100.0,99.97,100.0,100.0,100.0,99.62,99.73,100.0
Original (max),100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Original (avg.),99.852,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.894,100.0,100.0,100.0,100.0,100.0,99.994,100.0,100.0,100.0,99.924,99.946,100.0
