,{},{0},{1},{2},{3},{4},{5},"{0,1}","{1,2}","{2,3}","{3,4}","{4,5}","{0,1,2}","{1,2,3}","{2,3,4}","{3,4,5}","{0,1,2,3}","{1,2,3,4}","{2,3,4,5}","{0,1,2,3,4}","{1,2,3,4,5}"
Original (min),99.44,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.47,100.0,99.81,100.0,100.0,100.0,99.97,100.0,100.0,100.0,99.26,99.73,100.0
Original (max),100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Original (avg.),99.91777777777777,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.93375,100.0,99.97625,100.0,100.0,100.0,99.99625,100.0,100.0,100.0,99.86,99.97,100.0
NoPE (min),46.71,46.7,47.09,47.47,47.21,46.97,46.64,46.88,47.64,47.02,47.39,47.7,47.15,47.25,47.42,47.66,46.72,47.47,47.6,47.260000000000005,47.39
NoPE (max),47.74,47.57,48.18,48.2,48.29,47.95,48.0,48.02,48.2,48.26,47.95,48.34,48.22,48.31,48.14,48.36,48.05,48.010000000000005,48.35,48.29,48.120000000000005
NoPE (avg.),47.215,47.23125,47.74875,47.96,47.87125,47.472500000000004,47.31375,47.3125,47.975,47.832499999999996,47.75625,48.0,47.63875,47.7975,47.7975,48.053749999999994,47.44125,47.80625,47.870000000000005,47.758750000000006,47.89375
