,{},{0},{1},{2},{3},{4},{5},"{0,1}","{1,2}","{2,3}","{3,4}","{4,5}","{0,1,2}","{1,2,3}","{2,3,4}","{3,4,5}","{0,1,2,3}","{1,2,3,4}","{2,3,4,5}","{0,1,2,3,4}","{1,2,3,4,5}"
NoPE (min),99.77,99.99,100.0,99.33,100.0,100.0,100.0,99.17,99.96,99.63,100.0,99.35,99.17,99.13,99.33,100.0,99.16,97.39,84.87,54.400000000000006,36.41
NoPE (max),100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.99,100.0,99.89,99.89,89.62
NoPE (avg.),99.94,99.998,100.0,99.866,100.0,100.0,100.0,99.676,99.988,99.92,100.0,99.854,99.73400000000001,99.826,99.862,100.0,99.702,99.45599999999999,94.064,83.66799999999999,63.036
Original (min),100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.96,99.91,100.0,99.96,100.0,99.84,99.63,93.5,80.80000000000001,99.21,33.67,33.489999999999995
Original (max),100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.63,97.39
Original (avg.),100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.99,99.982,100.0,99.99199999999999,100.0,99.968,99.926,98.63399999999999,96.16,99.832,62.04200000000001,60.59000000000001
