,{},{0},{1},{2},{3},{4},{5},"{0,1}","{1,2}","{2,3}","{3,4}","{4,5}","{0,1,2}","{1,2,3}","{2,3,4}","{3,4,5}","{0,1,2,3}","{1,2,3,4}","{2,3,4,5}","{0,1,2,3,4}","{1,2,3,4,5}"
Original (min),99.1,99.45,99.7,99.5,99.05,99.65,99.5,99.05,99.7,99.95,99.2,90.3,99.55,99.65,96.5,99.45,99.95,99.95,87.1,99.8,99.8
Original (max),99.3,99.65,99.95,99.65,99.25,99.95,99.65,99.75,99.95,99.95,99.5,99.95,99.65,99.75,99.95,99.95,99.95,99.95,99.95,99.95,99.95
Original (avg.),99.19999999999999,99.55000000000001,99.825,99.575,99.15,99.80000000000001,99.575,99.4,99.825,99.95,99.35,95.125,99.6,99.7,98.225,99.7,99.95,99.95,93.525,99.875,99.875
NoPE (min),99.65,99.65,99.95,99.95,98.1,99.65,99.95,99.95,99.65,99.95,99.65,99.95,99.95,99.95,99.95,99.55,94.1,97.75,99.65,99.65,99.65
NoPE (max),99.65,99.65,99.95,99.95,99.65,99.95,99.95,99.95,99.95,100.0,99.95,99.95,99.95,99.95,99.95,99.95,99.95,99.95,99.95,99.95,99.95
NoPE (avg.),99.65,99.65,99.95,99.95,98.875,99.80000000000001,99.95,99.95,99.80000000000001,99.975,99.80000000000001,99.95,99.95,99.95,99.95,99.75,97.025,98.85,99.80000000000001,99.80000000000001,99.80000000000001
