,{},{0},{1},{2},{3},{4},{5},"{0,1}","{1,2}","{2,3}","{3,4}","{4,5}","{0,1,2}","{1,2,3}","{2,3,4}","{3,4,5}","{0,1,2,3}","{1,2,3,4}","{2,3,4,5}","{0,1,2,3,4}","{1,2,3,4,5}"
Original (min),97.09,84.54,87.21,98.45,94.82,98.95,81.49,93.93,89.67,98.61,98.78,96.08,93.51,82.47,96.98,99.82,83.39999999999999,33.37,33.81,76.74,80.84
Original (max),100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.87,100.0,100.0,100.0,100.0,99.22,90.99,100.0,100.0,88.92999999999999,90.44,97.65,94.61,89.05999999999999
Original (avg.),99.1175,93.85000000000001,95.75,99.66125,99.32,99.805,96.36875,97.48750000000001,94.8625,99.8225,99.81375,98.38374999999999,95.71375,86.59125,99.6,99.95625,86.4675,76.5475,88.44375,87.62625,85.60875
NoPE (min),89.94,90.95,89.68,94.66,91.61,92.23,90.52,90.92,87.05000000000001,92.59,92.96,91.31,90.52,83.3,97.81,90.9,82.55,83.48,94.3,82.03,36.01
NoPE (max),96.87,98.77,100.0,100.0,100.0,100.0,99.24,98.36,99.96,100.0,100.0,100.0,99.5,97.72,100.0,100.0,93.95,96.61,99.32,92.38,99.36
NoPE (avg.),93.85374999999999,94.22125,97.30250000000001,98.5425,98.89,98.18625,95.36,96.08375000000001,94.84625,98.35875000000001,97.88875,97.38,95.6625,89.65375,99.63374999999999,97.955,86.5975,89.37125,97.6325,87.55625,82.0475
