,{},{0},{1},{2},{3},{4},{5},"{0,1}","{1,2}","{2,3}","{3,4}","{4,5}","{0,1,2}","{1,2,3}","{2,3,4}","{3,4,5}","{0,1,2,3}","{1,2,3,4}","{2,3,4,5}","{0,1,2,3,4}","{1,2,3,4,5}"
NoPE (min),100.0,98.93,79.78,98.44,99.98,98.62,100.0,94.92,96.14,98.57,99.98,99.99,99.94,79.72,77.96,33.35,85.14,33.42,33.35,33.58,33.35
NoPE (max),100.0,99.99,99.06,100.0,100.0,100.0,100.0,100.0,99.93,100.0,100.0,100.0,100.0,94.47,99.15,33.989999999999995,94.92,34.489999999999995,33.989999999999995,33.98,33.989999999999995
NoPE (avg.),100.0,99.59,88.10799999999999,99.684,99.99600000000001,99.72,100.0,98.94399999999999,98.398,99.378,99.99600000000001,99.998,99.974,89.01200000000001,92.662,33.669999999999995,90.64399999999999,33.83200000000001,33.658,33.736000000000004,33.658
Original (min),99.76,98.19,89.13,98.8,99.2,98.81,100.0,99.52,98.25,99.93,99.67,99.71,99.09,88.96,82.21000000000001,33.64,33.379999999999995,33.18,33.51,33.58,33.59
Original (max),100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.76,100.0,100.0,100.0,100.0,94.82,98.74,33.989999999999995,96.24,33.910000000000004,33.989999999999995,33.95,34.239999999999995
Original (avg.),99.858,99.298,96.9,99.74600000000001,99.836,99.762,100.0,99.824,99.058,99.986,99.928,99.90599999999999,99.498,90.902,94.848,33.775999999999996,70.62833333333333,33.620000000000005,33.74999999999999,33.78,33.843333333333334
